SEARCHVAL,coordinates,Nearest School,Neareset School Coordinates,Nearest School Distance,Raffles MRT Coords,Time To City,Nearest Malls,Nearest Mall Distance,Nearest MRT,Nearest MRT Distance,Original Nameds
642 BUKIT BATOK CENTRAL SINGAPORE 650642,"1.34900647948549,103.751706683374",BUKIT VIEW PRIMARY SCHOOL,"1.34586054788695,103.75366641455",632,"1.28393326234538,103.851463066212",32.33333333,WEST MALL,404,BUKIT BATOK MRT STATION (NS2),346,642 BT BATOK CTRL
642 CHOA CHU KANG STREET 64 SINGAPORE 680642,"1.39839626401986,103.749200958426",YEW TEE PRIMARY SCHOOL,"1.39676600905037,103.750985967346",324,"1.28393326234538,103.851463066212",42,YEW TEE SQUARE,273,YEW TEE MRT STATION (NS5),289,642 CHOA CHU KANG ST 64
642 HOUGANG AVENUE 8 SINGAPORE 530642,"1.37169878879803,103.879948293051",XINMIN PRIMARY SCHOOL,"1.37139548941931,103.883080767491",426,"1.28393326234538,103.851463066212",43.18333333,HOUGANG 1,663,HOUGANG MRT STATION (NE14),1680,642 HOUGANG AVE 8
642 JURONG WEST STREET 61 SINGAPORE 640642,"1.34036989694199,103.695839824959",JURONG WEST PRIMARY SCHOOL,"1.33917519796104,103.698803732244",513,"1.28393326234538,103.851463066212",41.08333333,PIONEER MALL,252,PIONEER MRT STATION (EW28),505,642 JURONG WEST ST 61
642 PASIR RIS DRIVE 10 SINGAPORE 510642,"1.37755615779337,103.938410399087",PARK VIEW PRIMARY SCHOOL,"1.37738069854249,103.939541695654",252,"1.28393326234538,103.851463066212",43.6,ELIAS MALL,1019,PASIR RIS MRT STATION (EW1),1644,642 PASIR RIS DR 10
642 ROWELL ROAD SINGAPORE 200642,"1.30778051437061,103.856495249944",STAMFORD PRIMARY SCHOOL,"1.30345638467449,103.857453500579",730,"1.28393326234538,103.851463066212",14.63333333,MUSTAFA SHOPPING CENTRE,467,JALAN BESAR MRT STATION (DT22),349,642 ROWELL RD
642 YISHUN STREET 61 SINGAPORE 760642,"1.42097005451488,103.837446801202",NORTHLAND PRIMARY SCHOOL,"1.42096989918951,103.840928424929",544,"1.28393326234538,103.851463066212",39.36666667,WISTERIA MALL,685,KHATIB MRT STATION (NS14),991,642 YISHUN ST 61
THE MEADOWS,"1.39816276188602,103.916714233829",WATERWAY PRIMARY SCHOOL,"1.39882800626578,103.918621581556",546,"1.28393326234538,103.851463066212",37.75,PUNGGOL PLAZA,861,PUNGGOL COAST MRT STATION (NE18),2512,642A PUNGGOL DR
THE MEADOWS,"1.39828453335364,103.916255328466",WATERWAY PRIMARY SCHOOL,"1.39882800626578,103.918621581556",555,"1.28393326234538,103.851463066212",38.01666667,PUNGGOL PLAZA,847,PUNGGOL COAST MRT STATION (NE18),2521,642B PUNGGOL DR
THE MEADOWS,"1.39860069703993,103.916203276471",WATERWAY PRIMARY SCHOOL,"1.39882800626578,103.918621581556",497,"1.28393326234538,103.851463066212",37.05,OASIS TERRACES,701,PUNGGOL COAST MRT STATION (NE18),2462,642C PUNGGOL DR
THE MEADOWS,"1.39879750995963,103.915845691856",HORIZON PRIMARY SCHOOL,"1.399550034492,103.913404855665",376,"1.28393326234538,103.851463066212",37.75,OASIS TERRACES,693,PUNGGOL COAST MRT STATION (NE18),2453,642D PUNGGOL DR
ANG MO KIO 61,"1.3775062692911,103.840557182306",MAYFLOWER PRIMARY SCHOOL (JAN 2019 - DEC 2021),"1.37614621670476,103.835805246743",700,"1.28393326234538,103.851463066212",33.3,BROADWAY PLAZA,1203,YIO CHU KANG MRT STATION (NS15),985,643 ANG MO KIO AVE 5
EUNOS TENAGA VILLE,"1.33091027626006,103.905857348536",TELOK KURAU PRIMARY SCHOOL,"1.33104585441349,103.910934011337",657,"1.28393326234538,103.851463066212",29.06666667,SINGAPORE POST CENTRE,2747,KAKI BUKIT MRT STATION (DT28),832,643 BEDOK RESERVOIR RD
643 CHOA CHU KANG STREET 64 SINGAPORE 680643,"1.39856129024064,103.748604386179",YEW TEE PRIMARY SCHOOL,"1.39676600905037,103.750985967346",399,"1.28393326234538,103.851463066212",41.05,YEW TEE SQUARE,200,YEW TEE MRT STATION (NS5),237,643 CHOA CHU KANG ST 64
