,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,combined_blk_street_name,oneMapAPI_Name,time_to_city,nearest_mall,nearest_school,nearest_mrt,storey,town_premium,flat_model_premium
35,2020-07,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,07 TO 09,31.0,Improved,1975,53,168000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,8,0.0,0.0
36,2020-07,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,10 TO 12,31.0,Improved,1975,53,205000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,11,0.0,0.0
37,2020-11,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,10 TO 12,31.0,Improved,1975,53,180000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,11,0.0,0.0
38,2020-11,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,04 TO 06,31.0,Improved,1975,53,215000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,5,0.0,0.0
39,2021-01,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,04 TO 06,31.0,Improved,1975,53,182000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,5,0.0,0.0
40,2021-02,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,04 TO 06,31.0,Improved,1975,53,180000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,5,0.0,0.0
41,2021-02,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,07 TO 09,31.0,Improved,1975,53,205000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,8,0.0,0.0
42,2021-03,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,10 TO 12,31.0,Improved,1975,53,198000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,11,0.0,0.0
43,2021-03,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,01 TO 03,31.0,Improved,1975,53,190000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,2,0.0,0.0
44,2021-04,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,07 TO 09,31.0,Improved,1975,53,205000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,8,0.0,0.0
