,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,combined_blk_street_name,oneMapAPI_Name,time_to_city,nearest_mall,nearest_school,nearest_mrt,storey,town_premium,flat_model_premium
33,2022-02,ANG MO KIO,EXECUTIVE,615,ANG MO KIO AVE 4,07 TO 09,152.0,Apartment,1996,73,940000.0,615 ANG MO KIO AVE 4,615 ANG MO KIO AVENUE 4 SINGAPORE 560615,33.68333333,1318,587,1114,8,150000.0,-62000.0
34,2022-07,ANG MO KIO,EXECUTIVE,615,ANG MO KIO AVE 4,04 TO 06,156.0,Apartment,1996,72,950000.0,615 ANG MO KIO AVE 4,615 ANG MO KIO AVENUE 4 SINGAPORE 560615,33.68333333,1318,587,1114,5,150000.0,-62000.0
35,2022-07,ANG MO KIO,EXECUTIVE,104A,ANG MO KIO ST 11,04 TO 06,146.0,Apartment,1996,72,1120000.0,104A ANG MO KIO ST 11,KEBUN BARU HEIGHTS,26.76666667,993,196,1303,5,150000.0,-62000.0
36,2022-08,ANG MO KIO,EXECUTIVE,615,ANG MO KIO AVE 4,01 TO 03,152.0,Apartment,1996,72,955000.0,615 ANG MO KIO AVE 4,615 ANG MO KIO AVENUE 4 SINGAPORE 560615,33.68333333,1318,587,1114,2,150000.0,-62000.0
37,2022-08,ANG MO KIO,EXECUTIVE,613,ANG MO KIO AVE 4,04 TO 06,149.0,Apartment,1996,72,920000.0,613 ANG MO KIO AVE 4,613 ANG MO KIO AVENUE 4 SINGAPORE 560613,32.11666667,1448,717,1055,5,150000.0,-62000.0
38,2017-01,BEDOK,EXECUTIVE,640,BEDOK RESERVOIR RD,04 TO 06,143.0,Apartment,1993,75,668000.0,640 BEDOK RESERVOIR RD,EUNOS TENAGA VILLE,27.68333333,2652,664,922,5,40000.0,-62000.0
39,2017-01,BEDOK,EXECUTIVE,640,BEDOK RESERVOIR RD,10 TO 12,145.0,Apartment,1993,75,725000.0,640 BEDOK RESERVOIR RD,EUNOS TENAGA VILLE,27.68333333,2652,664,922,11,40000.0,-62000.0
40,2017-01,BEDOK,EXECUTIVE,94C,BEDOK NTH AVE 4,10 TO 12,141.0,Apartment,1993,75,730000.0,94C BEDOK NTH AVE 4,94C BEDOK NORTH AVENUE 4 SINGAPORE 462094,33.01666667,2434,318,1095,11,40000.0,-62000.0
41,2017-02,BEDOK,EXECUTIVE,10B,BEDOK STH AVE 2,07 TO 09,141.0,Apartment,1995,77,800000.0,10B BEDOK STH AVE 2,10B BEDOK SOUTH AVENUE 2 SINGAPORE 461010,33.73333333,1210,334,1510,8,40000.0,-62000.0
42,2017-03,BEDOK,EXECUTIVE,636,BEDOK RESERVOIR RD,07 TO 09,142.0,Apartment,1993,75,640000.0,636 BEDOK RESERVOIR RD,EUNOS TENAGA VILLE,27.68333333,2652,664,922,8,40000.0,-62000.0
43,2017-03,BEDOK,EXECUTIVE,661,JLN DAMAI,01 TO 03,145.0,Apartment,1996,78,685000.0,661 JLN DAMAI,EUNOS DAMAI VILLE,26.7,2945,458,581,2,40000.0,-62000.0
44,2017-03,BEDOK,EXECUTIVE,29A,CHAI CHEE AVE,13 TO 15,145.0,Apartment,1996,78,768000.0,29A CHAI CHEE AVE,HDB PUBLIC SHELTERS,27.03333333,1575,801,1207,14,40000.0,-62000.0
45,2017-04,BEDOK,EXECUTIVE,664,JLN DAMAI,04 TO 06,143.0,Apartment,1996,78,685000.0,664 JLN DAMAI,EUNOS DAMAI VILLE,26.7,2945,458,581,5,40000.0,-62000.0
46,2017-05,BEDOK,EXECUTIVE,643,BEDOK RESERVOIR RD,10 TO 12,145.0,Apartment,1993,75,690000.0,643 BEDOK RESERVOIR RD,EUNOS TENAGA VILLE,27.68333333,2652,664,922,11,40000.0,-62000.0
47,2017-06,BEDOK,EXECUTIVE,721,BEDOK RESERVOIR RD,04 TO 06,149.0,Apartment,1984,65,660000.0,721 BEDOK RESERVOIR RD,BEDOK RESERVOIR GARDEN,34.98333333,1688,137,773,5,40000.0,-62000.0
48,2017-06,BEDOK,EXECUTIVE,719,BEDOK RESERVOIR RD,07 TO 09,143.0,Apartment,1984,65,686888.0,719 BEDOK RESERVOIR RD,BEDOK RESERVOIR GARDEN,34.98333333,1688,137,773,8,40000.0,-62000.0
49,2017-06,BEDOK,EXECUTIVE,663,JLN DAMAI,01 TO 03,143.0,Apartment,1996,78,700000.0,663 JLN DAMAI,EUNOS DAMAI VILLE,26.7,2945,458,581,2,40000.0,-62000.0
50,2017-06,BEDOK,EXECUTIVE,10B,BEDOK STH AVE 2,01 TO 03,141.0,Apartment,1995,77,740000.0,10B BEDOK STH AVE 2,10B BEDOK SOUTH AVENUE 2 SINGAPORE 461010,33.73333333,1210,334,1510,2,40000.0,-62000.0
51,2017-07,BEDOK,EXECUTIVE,643,BEDOK RESERVOIR RD,04 TO 06,143.0,Apartment,1993,74,655000.0,643 BEDOK RESERVOIR RD,EUNOS TENAGA VILLE,27.68333333,2652,664,922,5,40000.0,-62000.0
52,2017-07,BEDOK,EXECUTIVE,10E,BEDOK STH AVE 2,07 TO 09,143.0,Apartment,1993,74,820000.0,10E BEDOK STH AVE 2,10E BEDOK SOUTH AVENUE 2 SINGAPORE 464010,30.9,1279,341,1517,8,40000.0,-62000.0
53,2017-08,BEDOK,EXECUTIVE,716,BEDOK RESERVOIR RD,07 TO 09,143.0,Apartment,1984,65,745000.0,716 BEDOK RESERVOIR RD,BEDOK RESERVOIR GARDEN,34.98333333,1688,137,773,8,40000.0,-62000.0
54,2017-08,BEDOK,EXECUTIVE,10D,BEDOK STH AVE 2,07 TO 09,143.0,Apartment,1995,77,811888.0,10D BEDOK STH AVE 2,10D BEDOK SOUTH AVENUE 2 SINGAPORE 463010,32.35,1285,409,1585,8,40000.0,-62000.0
